[67015-2035] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Honey (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67015-2036] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Beige (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67038-203] Bliss Block Star Sheer Liquid Daily Sunscreen SPF 50 (Zinc Oxide) -- **Product type:** Human Otc Drug  **Active ingredient:** ZINC OXIDE  **Strength:** 20 g/100mL  **Dosage form:** Lotion  **Route:** Topical  **Labeler:** Bliss Products Holdings LLC  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67046-1434] Phenobarbital (Phenobarbital) -- **Product type:** Human Prescription Drug  **Active ingredient:** PHENOBARBITAL  **Strength:** 64.8 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** UNAPPROVED DRUG OTHER  **DEA schedule:** CIV
[67046-1440] Quetiapine fumarate (Quetiapine fumarate) -- **Product type:** Human Prescription Drug  **Active ingredient:** QUETIAPINE FUMARATE  **Strength:** 25 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA201190)  **Pharmacologic class:** Atypical Antipsychotic [EPC]
[67046-1442] ATORVASTATIN CALCIUM (ATORVASTATIN CALCIUM) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATORVASTATIN CALCIUM TRIHYDRATE  **Strength:** 10 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA214344)  **Pharmacologic class:** HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]
[67046-1444] tizanidine (tizanidine) -- **Product type:** Human Prescription Drug  **Active ingredient:** TIZANIDINE HYDROCHLORIDE  **Strength:** 4 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA208187)  **Pharmacologic class:** Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]
[67046-1445] LACOSAMIDE (LACOSAMIDE) -- **Product type:** Human Prescription Drug  **Active ingredient:** LACOSAMIDE  **Strength:** 200 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA204787)  **Pharmacologic class:** Decreased Central Nervous System Disorganized Electrical Activity [PE]  **DEA schedule:** CV
[67046-1446] ISOSORBIDE MONONITRATE (ISOSORBIDE MONONITRATE) -- **Product type:** Human Prescription Drug  **Active ingredient:** ISOSORBIDE MONONITRATE  **Strength:** 30 mg/1  **Dosage form:** Tablet, Extended Release  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA216557)  **Pharmacologic class:** Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]
[67046-1447] Promethazine Hydrochloride (Promethazine Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** PROMETHAZINE HYDROCHLORIDE  **Strength:** 50 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA040596)  **Pharmacologic class:** Phenothiazine [EPC], Phenothiazines [CS]
[67046-1448] Prednisone (Prednisone) -- **Product type:** Human Prescription Drug  **Active ingredient:** PREDNISONE  **Strength:** 2.5 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA040581)  **Pharmacologic class:** Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]
[67046-1449] Folic Acid (Folic Acid) -- **Product type:** Human Prescription Drug  **Active ingredient:** FOLIC ACID  **Strength:** 1 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA202437)
[67046-1450] Carbidopa and Levodopa (Carbidopa and Levodopa) -- **Product type:** Human Prescription Drug  **Active ingredient:** CARBIDOPA; LEVODOPA  **Strength:** 25; 250 mg/1; mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA214092)  **Pharmacologic class:** Amino Acids, Aromatic [CS], Aromatic Amino Acid [EPC]
[67046-1451] Duloxetine (Duloxetine) -- **Product type:** Human Prescription Drug  **Active ingredient:** DULOXETINE HYDROCHLORIDE  **Strength:** 30 mg/1  **Dosage form:** Capsule, Delayed Release  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA208706)  **Pharmacologic class:** Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]
[67046-1452] Amantadine Hydrochloride (Amantadine Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** AMANTADINE HYDROCHLORIDE  **Strength:** 100 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA209035)  **Pharmacologic class:** Influenza A M2 Protein Inhibitor [EPC], M2 Protein Inhibitors [MoA]
[67046-1453] ATORVASTATIN CALCIUM (ATORVASTATIN CALCIUM) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATORVASTATIN CALCIUM TRIHYDRATE  **Strength:** 20 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA205945)  **Pharmacologic class:** HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]
[67046-1455] Carbamazepine (carbamazepine) -- **Product type:** Human Prescription Drug  **Active ingredient:** CARBAMAZEPINE  **Strength:** 300 mg/1  **Dosage form:** Capsule, Extended Release  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA076697)  **Pharmacologic class:** Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Mood Stabilizer [EPC]
[67046-1458] Atorvastatin Calcium (Atorvastatin Calcium) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATORVASTATIN CALCIUM TRIHYDRATE  **Strength:** 10 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA214659)  **Pharmacologic class:** HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]
[67046-1459] Lamivudine (Lamivudine) -- **Product type:** Human Prescription Drug  **Active ingredient:** LAMIVUDINE  **Strength:** 150 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090457)  **Pharmacologic class:** Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Reverse Transcriptase Inhibitors [MoA]
[67046-1460] Ciprofloxacin (Ciprofolxacin) -- **Product type:** Human Prescription Drug  **Active ingredient:** CIPROFLOXACIN HYDROCHLORIDE  **Strength:** 250 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA208921)  **Pharmacologic class:** Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]
[67046-1461] Levetiracetam (Levetiracetam) -- **Product type:** Human Prescription Drug  **Active ingredient:** LEVETIRACETAM  **Strength:** 1000 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA091491)  **Pharmacologic class:** Decreased Central Nervous System Disorganized Electrical Activity [PE]
[67046-1462] Clorazepate Dipotassium (Clorazepate Dipotassium) -- **Product type:** Human Prescription Drug  **Active ingredient:** CLORAZEPATE DIPOTASSIUM  **Strength:** 15 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA213730)  **Pharmacologic class:** Benzodiazepine [EPC], Benzodiazepines [CS]  **DEA schedule:** CIV
[67046-1463] Warfarin Sodium (Warfarin) -- **Product type:** Human Prescription Drug  **Active ingredient:** WARFARIN SODIUM  **Strength:** 4 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA202202)  **Pharmacologic class:** Vitamin K Antagonist [EPC], Vitamin K Inhibitors [MoA]
[67046-1465] escitalopram (escitalopram) -- **Product type:** Human Prescription Drug  **Active ingredient:** ESCITALOPRAM OXALATE  **Strength:** 20 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA078777)  **Pharmacologic class:** Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]
[67046-1469] Sucralfate (Sucralfate) -- **Product type:** Human Prescription Drug  **Active ingredient:** SUCRALFATE  **Strength:** 1 g/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA215705)  **Pharmacologic class:** Aluminum Complex [EPC], Organometallic Compounds [CS]
[67046-1470] Losartan potassium (Losartan potassium) -- **Product type:** Human Prescription Drug  **Active ingredient:** LOSARTAN POTASSIUM  **Strength:** 25 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA217396)  **Pharmacologic class:** Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]
[67046-1471] Memantine Hydrochloride (Memantine Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** MEMANTINE HYDROCHLORIDE  **Strength:** 5 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090961)  **Pharmacologic class:** N-methyl-D-aspartate Receptor Antagonist [EPC], NMDA Receptor Antagonists [MoA]
[67046-1472] escitalopram (escitalopram) -- **Product type:** Human Prescription Drug  **Active ingredient:** ESCITALOPRAM OXALATE  **Strength:** 5 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA078777)  **Pharmacologic class:** Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]
[67046-1476] Donepezil Hydrochloride (Donepezil Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DONEPEZIL HYDROCHLORIDE  **Strength:** 5 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090056)  **Pharmacologic class:** Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]
[67046-1477] Dapsone (dapsone) -- **Product type:** Human Prescription Drug  **Active ingredient:** DAPSONE  **Strength:** 100 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA207165)  **Pharmacologic class:** Sulfone [EPC], Sulfones [CS]
[67046-1478] Loxapine (Loxapine) -- **Product type:** Human Prescription Drug  **Active ingredient:** LOXAPINE SUCCINATE  **Strength:** 25 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090695)
[67046-1479] Loxapine (Loxapine) -- **Product type:** Human Prescription Drug  **Active ingredient:** LOXAPINE SUCCINATE  **Strength:** 5 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090695)
[67046-1480] Medroxyprogesterone Acetate (Medroxyprogesterone Acetate) -- **Product type:** Human Prescription Drug  **Active ingredient:** MEDROXYPROGESTERONE ACETATE  **Strength:** 2.5 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA040159)  **Pharmacologic class:** Progesterone Congeners [CS], Progestin [EPC]
[67046-1481] Diltiazem Hydrochloride (diltiazem hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DILTIAZEM HYDROCHLORIDE  **Strength:** 120 mg/1  **Dosage form:** Capsule, Extended Release  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA074910)  **Pharmacologic class:** Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A4 Inhibitors [MoA]
[67046-1482] Diclofenac Sodium (Diclofenac Sodium) -- **Product type:** Human Prescription Drug  **Active ingredient:** DICLOFENAC SODIUM  **Strength:** 75 mg/1  **Dosage form:** Tablet, Delayed Release  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA077863)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]
[67046-1483] Sertraline hydrochloride (Sertraline hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** SERTRALINE HYDROCHLORIDE  **Strength:** 50 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA078403)  **Pharmacologic class:** Cytochrome P450 2D6 Inhibitors [MoA], Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]
[67046-1484] Benzonatate (Benzonatate) -- **Product type:** Human Prescription Drug  **Active ingredient:** BENZONATATE  **Strength:** 100 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA081297)  **Pharmacologic class:** Decreased Tracheobronchial Stretch Receptor Activity [PE], Non-narcotic Antitussive [EPC]
[67046-1485] Loxapine (Loxapine) -- **Product type:** Human Prescription Drug  **Active ingredient:** LOXAPINE SUCCINATE  **Strength:** 10 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090695)
[67046-1486] Phenytek (extended phenytoin sodium) -- **Product type:** Human Prescription Drug  **Active ingredient:** PHENYTOIN SODIUM  **Strength:** 200 mg/1  **Dosage form:** Capsule, Extended Release  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA040298)  **Pharmacologic class:** Anti-epileptic Agent [EPC], Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C8 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 2D6 Inducers [MoA], Cytochrome P450 3A Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]
[67046-1487] acyclovir (acyclovir) -- **Product type:** Human Prescription Drug  **Active ingredient:** ACYCLOVIR  **Strength:** 800 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA204314)  **Pharmacologic class:** DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]
[67046-1488] Clonazepam (Clonazepam) -- **Product type:** Human Prescription Drug  **Active ingredient:** CLONAZEPAM  **Strength:** 2 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA075468)  **Pharmacologic class:** Benzodiazepine [EPC], Benzodiazepines [CS]  **DEA schedule:** CIV
[67046-1489] ROPINIROLE (ROPINIROLE) -- **Product type:** Human Prescription Drug  **Active ingredient:** ROPINIROLE HYDROCHLORIDE  **Strength:** 2 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090429)  **Pharmacologic class:** Dopamine Agonists [MoA], Nonergot Dopamine Agonist [EPC]
[67046-1490] ROPINIROLE (ROPINIROLE) -- **Product type:** Human Prescription Drug  **Active ingredient:** ROPINIROLE HYDROCHLORIDE  **Strength:** 3 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA090429)  **Pharmacologic class:** Dopamine Agonists [MoA], Nonergot Dopamine Agonist [EPC]
[67046-1491] Atorvastatin calcium (Atorvastatin calcium) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATORVASTATIN CALCIUM TRIHYDRATE  **Strength:** 10 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA217081)  **Pharmacologic class:** HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]
[67046-1492] Diltiazem Hydrochloride (Diltiazem hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DILTIAZEM HYDROCHLORIDE  **Strength:** 30 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA216521)  **Pharmacologic class:** Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A4 Inhibitors [MoA]
[67046-1494] Pregabalin (Pregabalin) -- **Product type:** Human Prescription Drug  **Active ingredient:** PREGABALIN  **Strength:** 50 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA205321)  **DEA schedule:** CV
[67046-1495] Chlorthalidone (Chlorthalidone) -- **Product type:** Human Prescription Drug  **Active ingredient:** CHLORTHALIDONE  **Strength:** 50 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA207204)  **Pharmacologic class:** Increased Diuresis [PE], Thiazide-like Diuretic [EPC]
[67046-1496] Haloperidol (haloperidol) -- **Product type:** Human Prescription Drug  **Active ingredient:** HALOPERIDOL  **Strength:** .5 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA070278)  **Pharmacologic class:** Typical Antipsychotic [EPC]
[67046-1497] Bupropion hydrochloride (Bupropion hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** BUPROPION HYDROCHLORIDE  **Strength:** 300 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA215568)  **Pharmacologic class:** Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]
[67046-1498] Haloperidol (Haloperidol) -- **Product type:** Human Prescription Drug  **Active ingredient:** HALOPERIDOL  **Strength:** 2 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA218789)  **Pharmacologic class:** Typical Antipsychotic [EPC]
[67046-1499] Chlorthalidone (Chlorthalidone) -- **Product type:** Human Prescription Drug  **Active ingredient:** CHLORTHALIDONE  **Strength:** 50 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA213412)  **Pharmacologic class:** Increased Diuresis [PE], Thiazide-like Diuretic [EPC]
[67046-1500] Nortriptyline Hydrochloride (Nortriptyline Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** NORTRIPTYLINE HYDROCHLORIDE  **Strength:** 10 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA073556)  **Pharmacologic class:** Tricyclic Antidepressant [EPC]
[67046-1501] Clorazepate Dipotassium (Clorazepate Dipotassium) -- **Product type:** Human Prescription Drug  **Active ingredient:** CLORAZEPATE DIPOTASSIUM  **Strength:** 15 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA075731)  **Pharmacologic class:** Benzodiazepine [EPC], Benzodiazepines [CS]  **DEA schedule:** CIV
[67046-1502] Azithromycin Dihydrate (Azithromycin Dihydrate) -- **Product type:** Human Prescription Drug  **Active ingredient:** AZITHROMYCIN DIHYDRATE  **Strength:** 250 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA208250)  **Pharmacologic class:** Macrolide Antimicrobial [EPC], Macrolides [CS]
[67046-1503] azithromycin dihydrate (azithromycin dihydrate) -- **Product type:** Human Prescription Drug  **Active ingredient:** AZITHROMYCIN DIHYDRATE  **Strength:** 600 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA065400)  **Pharmacologic class:** Macrolide Antimicrobial [EPC], Macrolides [CS]
[67046-1504] Enalapril Maleate (Enalapril Maleate) -- **Product type:** Human Prescription Drug  **Active ingredient:** ENALAPRIL MALEATE  **Strength:** 5 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA213273)  **Pharmacologic class:** Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Decreased Blood Pressure [PE]
[67046-1505] Atorvastatin calcium (Atorvastatin calcium) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATORVASTATIN CALCIUM TRIHYDRATE  **Strength:** 20 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA217081)  **Pharmacologic class:** HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]
[67046-1506] Trazodone Hydrochloride (Trazodone Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** TRAZODONE HYDROCHLORIDE  **Strength:** 50 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Coupler LLC  **Marketing category:** ANDA (ANDA218988)  **Pharmacologic class:** Serotonin Reuptake Inhibitor [EPC]
