[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5M0ZZ] Destruction of Left Tarsal, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5M3ZZ] Destruction of Left Tarsal, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5M4ZZ] Destruction of Left Tarsal, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5N0ZZ] Destruction of Right Metatarsal, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5N3ZZ] Destruction of Right Metatarsal, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5N4ZZ] Destruction of Right Metatarsal, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5P0ZZ] Destruction of Left Metatarsal, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5P3ZZ] Destruction of Left Metatarsal, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5P4ZZ] Destruction of Left Metatarsal, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5Q0ZZ] Destruction of Right Toe Phalanx, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5Q3ZZ] Destruction of Right Toe Phalanx, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5Q4ZZ] Destruction of Right Toe Phalanx, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5R0ZZ] Destruction of Left Toe Phalanx, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5R3ZZ] Destruction of Left Toe Phalanx, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5R4ZZ] Destruction of Left Toe Phalanx, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5S0ZZ] Destruction of Coccyx, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5S3ZZ] Destruction of Coccyx, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q5S4ZZ] Destruction of Coccyx, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q8] Lower Bones, Division -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q800ZZ] Division of Lumbar Vertebra, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q803ZZ] Division of Lumbar Vertebra, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q804ZZ] Division of Lumbar Vertebra, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q810ZZ] Division of Sacrum, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q813ZZ] Division of Sacrum, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q814ZZ] Division of Sacrum, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q820ZZ] Division of Right Pelvic Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q823ZZ] Division of Right Pelvic Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q824ZZ] Division of Right Pelvic Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q830ZZ] Division of Left Pelvic Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q833ZZ] Division of Left Pelvic Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q834ZZ] Division of Left Pelvic Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q840ZZ] Division of Right Acetabulum, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q843ZZ] Division of Right Acetabulum, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q844ZZ] Division of Right Acetabulum, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q850ZZ] Division of Left Acetabulum, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q853ZZ] Division of Left Acetabulum, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q854ZZ] Division of Left Acetabulum, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q860ZZ] Division of Right Upper Femur, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q863ZZ] Division of Right Upper Femur, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q864ZZ] Division of Right Upper Femur, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q870ZZ] Division of Left Upper Femur, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q873ZZ] Division of Left Upper Femur, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q874ZZ] Division of Left Upper Femur, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q880ZZ] Division of Right Femoral Shaft, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q883ZZ] Division of Right Femoral Shaft, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q884ZZ] Division of Right Femoral Shaft, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q890ZZ] Division of Left Femoral Shaft, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q893ZZ] Division of Left Femoral Shaft, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q894ZZ] Division of Left Femoral Shaft, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8B0ZZ] Division of Right Lower Femur, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8B3ZZ] Division of Right Lower Femur, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8B4ZZ] Division of Right Lower Femur, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8C0ZZ] Division of Left Lower Femur, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8C3ZZ] Division of Left Lower Femur, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8C4ZZ] Division of Left Lower Femur, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8D0ZZ] Division of Right Patella, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8D3ZZ] Division of Right Patella, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8D4ZZ] Division of Right Patella, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8F0ZZ] Division of Left Patella, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8F3ZZ] Division of Left Patella, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8F4ZZ] Division of Left Patella, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8G0ZZ] Division of Right Tibia, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8G3ZZ] Division of Right Tibia, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8G4ZZ] Division of Right Tibia, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8H0ZZ] Division of Left Tibia, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8H3ZZ] Division of Left Tibia, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8H4ZZ] Division of Left Tibia, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8J0ZZ] Division of Right Fibula, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8J3ZZ] Division of Right Fibula, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8J4ZZ] Division of Right Fibula, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8K0ZZ] Division of Left Fibula, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8K3ZZ] Division of Left Fibula, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8K4ZZ] Division of Left Fibula, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8L0ZZ] Division of Right Tarsal, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8L3ZZ] Division of Right Tarsal, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8L4ZZ] Division of Right Tarsal, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8M0ZZ] Division of Left Tarsal, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8M3ZZ] Division of Left Tarsal, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8M4ZZ] Division of Left Tarsal, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8N0ZZ] Division of Right Metatarsal, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8N3ZZ] Division of Right Metatarsal, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8N4ZZ] Division of Right Metatarsal, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8P0ZZ] Division of Left Metatarsal, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8P3ZZ] Division of Left Metatarsal, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8P4ZZ] Division of Left Metatarsal, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8Q0ZZ] Division of Right Toe Phalanx, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8Q3ZZ] Division of Right Toe Phalanx, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8Q4ZZ] Division of Right Toe Phalanx, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8R0ZZ] Division of Left Toe Phalanx, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8R3ZZ] Division of Left Toe Phalanx, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8R4ZZ] Division of Left Toe Phalanx, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8S0ZZ] Division of Coccyx, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8S3ZZ] Division of Coccyx, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q8S4ZZ] Division of Coccyx, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0Q9] Lower Bones, Drainage -- Taking or letting out fluids and/or gases from a body part
[0Q9000Z] Drainage of Lumbar Vertebra with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q900ZX] Drainage of Lumbar Vertebra, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q900ZZ] Drainage of Lumbar Vertebra, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9030Z] Drainage of Lumbar Vertebra with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q903ZX] Drainage of Lumbar Vertebra, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q903ZZ] Drainage of Lumbar Vertebra, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9040Z] Drainage of Lumbar Vertebra with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q904ZX] Drainage of Lumbar Vertebra, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q904ZZ] Drainage of Lumbar Vertebra, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9100Z] Drainage of Sacrum with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q910ZX] Drainage of Sacrum, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q910ZZ] Drainage of Sacrum, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9130Z] Drainage of Sacrum with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q913ZX] Drainage of Sacrum, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q913ZZ] Drainage of Sacrum, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9140Z] Drainage of Sacrum with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q914ZX] Drainage of Sacrum, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q914ZZ] Drainage of Sacrum, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9200Z] Drainage of Right Pelvic Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q920ZX] Drainage of Right Pelvic Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q920ZZ] Drainage of Right Pelvic Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9230Z] Drainage of Right Pelvic Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q923ZX] Drainage of Right Pelvic Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q923ZZ] Drainage of Right Pelvic Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9240Z] Drainage of Right Pelvic Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q924ZX] Drainage of Right Pelvic Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q924ZZ] Drainage of Right Pelvic Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9300Z] Drainage of Left Pelvic Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q930ZX] Drainage of Left Pelvic Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q930ZZ] Drainage of Left Pelvic Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9330Z] Drainage of Left Pelvic Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q933ZX] Drainage of Left Pelvic Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
