[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5C0ZZ] Destruction of Right Hand Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5C3ZZ] Destruction of Right Hand Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5C4ZZ] Destruction of Right Hand Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5D0ZZ] Destruction of Left Hand Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5D3ZZ] Destruction of Left Hand Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5D4ZZ] Destruction of Left Hand Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5F0ZZ] Destruction of Right Trunk Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5F3ZZ] Destruction of Right Trunk Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5F4ZZ] Destruction of Right Trunk Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5G0ZZ] Destruction of Left Trunk Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5G3ZZ] Destruction of Left Trunk Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5G4ZZ] Destruction of Left Trunk Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5H0ZZ] Destruction of Right Thorax Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5H3ZZ] Destruction of Right Thorax Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5H4ZZ] Destruction of Right Thorax Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5J0ZZ] Destruction of Left Thorax Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5J3ZZ] Destruction of Left Thorax Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5J4ZZ] Destruction of Left Thorax Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5K0ZZ] Destruction of Right Abdomen Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5K3ZZ] Destruction of Right Abdomen Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5K4ZZ] Destruction of Right Abdomen Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5L0ZZ] Destruction of Left Abdomen Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5L3ZZ] Destruction of Left Abdomen Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5L4ZZ] Destruction of Left Abdomen Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5M0ZZ] Destruction of Perineum Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5M3ZZ] Destruction of Perineum Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5M4ZZ] Destruction of Perineum Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5N0ZZ] Destruction of Right Hip Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5N3ZZ] Destruction of Right Hip Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5N4ZZ] Destruction of Right Hip Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5P0ZZ] Destruction of Left Hip Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5P3ZZ] Destruction of Left Hip Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5P4ZZ] Destruction of Left Hip Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5Q0ZZ] Destruction of Right Upper Leg Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5Q3ZZ] Destruction of Right Upper Leg Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5Q4ZZ] Destruction of Right Upper Leg Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5R0ZZ] Destruction of Left Upper Leg Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5R3ZZ] Destruction of Left Upper Leg Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5R4ZZ] Destruction of Left Upper Leg Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5S0ZZ] Destruction of Right Lower Leg Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5S3ZZ] Destruction of Right Lower Leg Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5S4ZZ] Destruction of Right Lower Leg Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5T0ZZ] Destruction of Left Lower Leg Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5T3ZZ] Destruction of Left Lower Leg Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5T4ZZ] Destruction of Left Lower Leg Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5V0ZZ] Destruction of Right Foot Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5V3ZZ] Destruction of Right Foot Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5V4ZZ] Destruction of Right Foot Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5W0ZZ] Destruction of Left Foot Muscle, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5W3ZZ] Destruction of Left Foot Muscle, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K5W4ZZ] Destruction of Left Foot Muscle, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K8] Muscles, Division -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K800ZZ] Division of Head Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K803ZZ] Division of Head Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K804ZZ] Division of Head Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K810ZZ] Division of Facial Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K813ZZ] Division of Facial Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K814ZZ] Division of Facial Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K820ZZ] Division of Right Neck Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K823ZZ] Division of Right Neck Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K824ZZ] Division of Right Neck Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K830ZZ] Division of Left Neck Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K833ZZ] Division of Left Neck Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K834ZZ] Division of Left Neck Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K840ZZ] Division of Tongue, Palate, Pharynx Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K843ZZ] Division of Tongue, Palate, Pharynx Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K844ZZ] Division of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K847ZZ] Division of Tongue, Palate, Pharynx Muscle, Via Natural or Artificial Opening -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K848ZZ] Division of Tongue, Palate, Pharynx Muscle, Via Natural or Artificial Opening Endoscopic -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K850ZZ] Division of Right Shoulder Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K853ZZ] Division of Right Shoulder Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K854ZZ] Division of Right Shoulder Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K860ZZ] Division of Left Shoulder Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K863ZZ] Division of Left Shoulder Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K864ZZ] Division of Left Shoulder Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K870ZZ] Division of Right Upper Arm Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K873ZZ] Division of Right Upper Arm Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K874ZZ] Division of Right Upper Arm Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K880ZZ] Division of Left Upper Arm Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K883ZZ] Division of Left Upper Arm Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K884ZZ] Division of Left Upper Arm Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K890ZZ] Division of Right Lower Arm and Wrist Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K893ZZ] Division of Right Lower Arm and Wrist Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K894ZZ] Division of Right Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8B0ZZ] Division of Left Lower Arm and Wrist Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8B3ZZ] Division of Left Lower Arm and Wrist Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8B4ZZ] Division of Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8C0ZZ] Division of Right Hand Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8C3ZZ] Division of Right Hand Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8C4ZZ] Division of Right Hand Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8D0ZZ] Division of Left Hand Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8D3ZZ] Division of Left Hand Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8D4ZZ] Division of Left Hand Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8F0ZZ] Division of Right Trunk Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8F3ZZ] Division of Right Trunk Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8F4ZZ] Division of Right Trunk Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8G0ZZ] Division of Left Trunk Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8G3ZZ] Division of Left Trunk Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8G4ZZ] Division of Left Trunk Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8H0ZZ] Division of Right Thorax Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8H3ZZ] Division of Right Thorax Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8H4ZZ] Division of Right Thorax Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8J0ZZ] Division of Left Thorax Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8J3ZZ] Division of Left Thorax Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8J4ZZ] Division of Left Thorax Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8K0ZZ] Division of Right Abdomen Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8K3ZZ] Division of Right Abdomen Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8K4ZZ] Division of Right Abdomen Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8L0ZZ] Division of Left Abdomen Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8L3ZZ] Division of Left Abdomen Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8L4ZZ] Division of Left Abdomen Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8M0ZZ] Division of Perineum Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8M3ZZ] Division of Perineum Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8M4ZZ] Division of Perineum Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8N0ZZ] Division of Right Hip Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8N3ZZ] Division of Right Hip Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8N4ZZ] Division of Right Hip Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8P0ZZ] Division of Left Hip Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8P3ZZ] Division of Left Hip Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8P4ZZ] Division of Left Hip Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8Q0ZZ] Division of Right Upper Leg Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8Q3ZZ] Division of Right Upper Leg Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8Q4ZZ] Division of Right Upper Leg Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8R0ZZ] Division of Left Upper Leg Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8R3ZZ] Division of Left Upper Leg Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8R4ZZ] Division of Left Upper Leg Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8S0ZZ] Division of Right Lower Leg Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8S3ZZ] Division of Right Lower Leg Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8S4ZZ] Division of Right Lower Leg Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8T0ZZ] Division of Left Lower Leg Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8T3ZZ] Division of Left Lower Leg Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8T4ZZ] Division of Left Lower Leg Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8V0ZZ] Division of Right Foot Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8V3ZZ] Division of Right Foot Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8V4ZZ] Division of Right Foot Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8W0ZZ] Division of Left Foot Muscle, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8W3ZZ] Division of Left Foot Muscle, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K8W4ZZ] Division of Left Foot Muscle, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0K9] Muscles, Drainage -- Taking or letting out fluids and/or gases from a body part
[0K9000Z] Drainage of Head Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K900ZX] Drainage of Head Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K900ZZ] Drainage of Head Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9030Z] Drainage of Head Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K903ZX] Drainage of Head Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K903ZZ] Drainage of Head Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
