[02] Heart and Great Vessels -- Body system (Heart and Great Vessels) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[021] Heart and Great Vessels, Bypass -- Altering the route of passage of the contents of a tubular body part
[0210344] Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[02103D4] Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0210444] Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0210483] Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0210488] Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0210489] Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021048C] Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021048F] Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021048W] Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0210493] Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0210498] Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0210499] Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021049C] Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021049F] Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021049W] Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104A3] Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104A8] Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104A9] Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104AC] Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104AF] Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104AW] Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104D4] Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104J3] Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104J8] Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104J9] Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104JC] Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104JF] Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104JW] Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104K3] Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104K8] Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104K9] Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104KC] Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104KF] Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104KW] Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104Z3] Bypass Coronary Artery, One Artery from Coronary Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104Z8] Bypass Coronary Artery, One Artery from Right Internal Mammary, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104Z9] Bypass Coronary Artery, One Artery from Left Internal Mammary, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104ZC] Bypass Coronary Artery, One Artery from Thoracic Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02104ZF] Bypass Coronary Artery, One Artery from Abdominal Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0211083] Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0211088] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0211089] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021108C] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021108F] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021108W] Bypass Coronary Artery, Two Arteries from Aorta with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0211093] Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0211098] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0211099] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021109C] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021109F] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021109W] Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110A3] Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110A8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110A9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110AC] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110AF] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110AW] Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110J3] Bypass Coronary Artery, Two Arteries from Coronary Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110J8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110J9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110JC] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110JF] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110JW] Bypass Coronary Artery, Two Arteries from Aorta with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110K3] Bypass Coronary Artery, Two Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110K8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110K9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110KC] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110KF] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110KW] Bypass Coronary Artery, Two Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110Z3] Bypass Coronary Artery, Two Arteries from Coronary Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110Z8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110Z9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110ZC] Bypass Coronary Artery, Two Arteries from Thoracic Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02110ZF] Bypass Coronary Artery, Two Arteries from Abdominal Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0211344] Bypass Coronary Artery, Two Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[02113D4] Bypass Coronary Artery, Two Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0211444] Bypass Coronary Artery, Two Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0211483] Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0211488] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0211489] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021148C] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021148F] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021148W] Bypass Coronary Artery, Two Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0211493] Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0211498] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0211499] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021149C] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021149F] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021149W] Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114A3] Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114A8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114A9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114AC] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114AF] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114AW] Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114D4] Bypass Coronary Artery, Two Arteries from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114J3] Bypass Coronary Artery, Two Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114J8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114J9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114JC] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114JF] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114JW] Bypass Coronary Artery, Two Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114K3] Bypass Coronary Artery, Two Arteries from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114K8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114K9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114KC] Bypass Coronary Artery, Two Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114KF] Bypass Coronary Artery, Two Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114KW] Bypass Coronary Artery, Two Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114Z3] Bypass Coronary Artery, Two Arteries from Coronary Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114Z8] Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114Z9] Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114ZC] Bypass Coronary Artery, Two Arteries from Thoracic Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02114ZF] Bypass Coronary Artery, Two Arteries from Abdominal Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0212083] Bypass Coronary Artery, Three Arteries from Coronary Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0212088] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0212089] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021208C] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021208F] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021208W] Bypass Coronary Artery, Three Arteries from Aorta with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0212093] Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0212098] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0212099] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021209C] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021209F] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021209W] Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120A3] Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120A8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120A9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120AC] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120AF] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120AW] Bypass Coronary Artery, Three Arteries from Aorta with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120J3] Bypass Coronary Artery, Three Arteries from Coronary Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120J8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120J9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120JC] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120JF] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120JW] Bypass Coronary Artery, Three Arteries from Aorta with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120K3] Bypass Coronary Artery, Three Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120K8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120K9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120KC] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120KF] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120KW] Bypass Coronary Artery, Three Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120Z3] Bypass Coronary Artery, Three Arteries from Coronary Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120Z8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120Z9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120ZC] Bypass Coronary Artery, Three Arteries from Thoracic Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02120ZF] Bypass Coronary Artery, Three Arteries from Abdominal Artery, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0212344] Bypass Coronary Artery, Three Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[02123D4] Bypass Coronary Artery, Three Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
