[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01554ZZ] Destruction of Median Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01560ZZ] Destruction of Radial Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01563ZZ] Destruction of Radial Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01564ZZ] Destruction of Radial Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01580ZZ] Destruction of Thoracic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01583ZZ] Destruction of Thoracic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01584ZZ] Destruction of Thoracic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01590ZZ] Destruction of Lumbar Plexus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01593ZZ] Destruction of Lumbar Plexus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01594ZZ] Destruction of Lumbar Plexus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015A0ZZ] Destruction of Lumbosacral Plexus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015A3ZZ] Destruction of Lumbosacral Plexus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015A4ZZ] Destruction of Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015B0ZZ] Destruction of Lumbar Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015B3ZZ] Destruction of Lumbar Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015B4ZZ] Destruction of Lumbar Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015C0ZZ] Destruction of Pudendal Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015C3ZZ] Destruction of Pudendal Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015C4ZZ] Destruction of Pudendal Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015D0ZZ] Destruction of Femoral Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015D3ZZ] Destruction of Femoral Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015D4ZZ] Destruction of Femoral Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015F0ZZ] Destruction of Sciatic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015F3ZZ] Destruction of Sciatic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015F4ZZ] Destruction of Sciatic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015G0ZZ] Destruction of Tibial Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015G3ZZ] Destruction of Tibial Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015G4ZZ] Destruction of Tibial Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015H0ZZ] Destruction of Peroneal Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015H3ZZ] Destruction of Peroneal Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015H4ZZ] Destruction of Peroneal Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015K0ZZ] Destruction of Head and Neck Sympathetic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015K3ZZ] Destruction of Head and Neck Sympathetic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015K4ZZ] Destruction of Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015L0ZZ] Destruction of Thoracic Sympathetic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015L3ZZ] Destruction of Thoracic Sympathetic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015L4ZZ] Destruction of Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015M0ZZ] Destruction of Abdominal Sympathetic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015M3ZZ] Destruction of Abdominal Sympathetic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015M4ZZ] Destruction of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015N0ZZ] Destruction of Lumbar Sympathetic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015N3ZZ] Destruction of Lumbar Sympathetic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015N4ZZ] Destruction of Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015P0ZZ] Destruction of Sacral Sympathetic Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015P3ZZ] Destruction of Sacral Sympathetic Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015P4ZZ] Destruction of Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015Q0ZZ] Destruction of Sacral Plexus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015Q3ZZ] Destruction of Sacral Plexus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015Q4ZZ] Destruction of Sacral Plexus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015R0ZZ] Destruction of Sacral Nerve, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015R3ZZ] Destruction of Sacral Nerve, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[015R4ZZ] Destruction of Sacral Nerve, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[018] Peripheral Nervous System, Division -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01800ZZ] Division of Cervical Plexus, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01803ZZ] Division of Cervical Plexus, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01804ZZ] Division of Cervical Plexus, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01810ZZ] Division of Cervical Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01813ZZ] Division of Cervical Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01814ZZ] Division of Cervical Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01820ZZ] Division of Phrenic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01823ZZ] Division of Phrenic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01824ZZ] Division of Phrenic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01830ZZ] Division of Brachial Plexus, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01833ZZ] Division of Brachial Plexus, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01834ZZ] Division of Brachial Plexus, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01840ZZ] Division of Ulnar Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01843ZZ] Division of Ulnar Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01844ZZ] Division of Ulnar Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01850ZZ] Division of Median Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01853ZZ] Division of Median Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01854ZZ] Division of Median Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01860ZZ] Division of Radial Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01863ZZ] Division of Radial Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01864ZZ] Division of Radial Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01880ZZ] Division of Thoracic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01883ZZ] Division of Thoracic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01884ZZ] Division of Thoracic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01890ZZ] Division of Lumbar Plexus, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01893ZZ] Division of Lumbar Plexus, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[01894ZZ] Division of Lumbar Plexus, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018A0ZZ] Division of Lumbosacral Plexus, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018A3ZZ] Division of Lumbosacral Plexus, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018A4ZZ] Division of Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018B0ZZ] Division of Lumbar Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018B3ZZ] Division of Lumbar Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018B4ZZ] Division of Lumbar Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018C0ZZ] Division of Pudendal Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018C3ZZ] Division of Pudendal Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018C4ZZ] Division of Pudendal Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018D0ZZ] Division of Femoral Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018D3ZZ] Division of Femoral Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018D4ZZ] Division of Femoral Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018F0ZZ] Division of Sciatic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018F3ZZ] Division of Sciatic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018F4ZZ] Division of Sciatic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018G0ZZ] Division of Tibial Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018G3ZZ] Division of Tibial Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018G4ZZ] Division of Tibial Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018H0ZZ] Division of Peroneal Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018H3ZZ] Division of Peroneal Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018H4ZZ] Division of Peroneal Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018K0ZZ] Division of Head and Neck Sympathetic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018K3ZZ] Division of Head and Neck Sympathetic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018K4ZZ] Division of Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018L0ZZ] Division of Thoracic Sympathetic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018L3ZZ] Division of Thoracic Sympathetic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018L4ZZ] Division of Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018M0ZZ] Division of Abdominal Sympathetic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018M3ZZ] Division of Abdominal Sympathetic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018M4ZZ] Division of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018N0ZZ] Division of Lumbar Sympathetic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018N3ZZ] Division of Lumbar Sympathetic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018N4ZZ] Division of Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018P0ZZ] Division of Sacral Sympathetic Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018P3ZZ] Division of Sacral Sympathetic Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018P4ZZ] Division of Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018Q0ZZ] Division of Sacral Plexus, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018Q3ZZ] Division of Sacral Plexus, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018Q4ZZ] Division of Sacral Plexus, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018R0ZZ] Division of Sacral Nerve, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018R3ZZ] Division of Sacral Nerve, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[018R4ZZ] Division of Sacral Nerve, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[019] Peripheral Nervous System, Drainage -- Taking or letting out fluids and/or gases from a body part
[019000Z] Drainage of Cervical Plexus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01900ZX] Drainage of Cervical Plexus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01900ZZ] Drainage of Cervical Plexus, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019030Z] Drainage of Cervical Plexus with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01903ZX] Drainage of Cervical Plexus, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01903ZZ] Drainage of Cervical Plexus, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019040Z] Drainage of Cervical Plexus with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01904ZX] Drainage of Cervical Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01904ZZ] Drainage of Cervical Plexus, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019100Z] Drainage of Cervical Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01910ZX] Drainage of Cervical Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01910ZZ] Drainage of Cervical Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019130Z] Drainage of Cervical Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01913ZX] Drainage of Cervical Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01913ZZ] Drainage of Cervical Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019140Z] Drainage of Cervical Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01914ZX] Drainage of Cervical Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01914ZZ] Drainage of Cervical Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019200Z] Drainage of Phrenic Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01920ZX] Drainage of Phrenic Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01920ZZ] Drainage of Phrenic Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019230Z] Drainage of Phrenic Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01923ZX] Drainage of Phrenic Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01923ZZ] Drainage of Phrenic Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019240Z] Drainage of Phrenic Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01924ZX] Drainage of Phrenic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01924ZZ] Drainage of Phrenic Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019300Z] Drainage of Brachial Plexus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01930ZX] Drainage of Brachial Plexus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01930ZZ] Drainage of Brachial Plexus, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019330Z] Drainage of Brachial Plexus with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01933ZX] Drainage of Brachial Plexus, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01933ZZ] Drainage of Brachial Plexus, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019340Z] Drainage of Brachial Plexus with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01934ZX] Drainage of Brachial Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01934ZZ] Drainage of Brachial Plexus, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019400Z] Drainage of Ulnar Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01940ZX] Drainage of Ulnar Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01940ZZ] Drainage of Ulnar Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019430Z] Drainage of Ulnar Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01943ZX] Drainage of Ulnar Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01943ZZ] Drainage of Ulnar Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019440Z] Drainage of Ulnar Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01944ZX] Drainage of Ulnar Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01944ZZ] Drainage of Ulnar Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019500Z] Drainage of Median Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01950ZX] Drainage of Median Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01950ZZ] Drainage of Median Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019530Z] Drainage of Median Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01953ZX] Drainage of Median Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01953ZZ] Drainage of Median Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019540Z] Drainage of Median Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01954ZX] Drainage of Median Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01954ZZ] Drainage of Median Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019600Z] Drainage of Radial Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01960ZX] Drainage of Radial Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01960ZZ] Drainage of Radial Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019630Z] Drainage of Radial Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
