[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5B4ZZ] Destruction of Left Trunk Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5C0ZZ] Destruction of Right Thorax Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5C3ZZ] Destruction of Right Thorax Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5C4ZZ] Destruction of Right Thorax Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5D0ZZ] Destruction of Left Thorax Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5D3ZZ] Destruction of Left Thorax Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5D4ZZ] Destruction of Left Thorax Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5F0ZZ] Destruction of Right Abdomen Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5F3ZZ] Destruction of Right Abdomen Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5F4ZZ] Destruction of Right Abdomen Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5G0ZZ] Destruction of Left Abdomen Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5G3ZZ] Destruction of Left Abdomen Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5G4ZZ] Destruction of Left Abdomen Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5H0ZZ] Destruction of Perineum Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5H3ZZ] Destruction of Perineum Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5H4ZZ] Destruction of Perineum Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5J0ZZ] Destruction of Right Hip Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5J3ZZ] Destruction of Right Hip Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5J4ZZ] Destruction of Right Hip Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5K0ZZ] Destruction of Left Hip Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5K3ZZ] Destruction of Left Hip Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5K4ZZ] Destruction of Left Hip Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5L0ZZ] Destruction of Right Upper Leg Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5L3ZZ] Destruction of Right Upper Leg Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5L4ZZ] Destruction of Right Upper Leg Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5M0ZZ] Destruction of Left Upper Leg Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5M3ZZ] Destruction of Left Upper Leg Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5M4ZZ] Destruction of Left Upper Leg Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5N0ZZ] Destruction of Right Lower Leg Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5N3ZZ] Destruction of Right Lower Leg Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5N4ZZ] Destruction of Right Lower Leg Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5P0ZZ] Destruction of Left Lower Leg Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5P3ZZ] Destruction of Left Lower Leg Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5P4ZZ] Destruction of Left Lower Leg Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5Q0ZZ] Destruction of Right Knee Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5Q3ZZ] Destruction of Right Knee Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5Q4ZZ] Destruction of Right Knee Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5R0ZZ] Destruction of Left Knee Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5R3ZZ] Destruction of Left Knee Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5R4ZZ] Destruction of Left Knee Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5S0ZZ] Destruction of Right Ankle Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5S3ZZ] Destruction of Right Ankle Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5S4ZZ] Destruction of Right Ankle Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5T0ZZ] Destruction of Left Ankle Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5T3ZZ] Destruction of Left Ankle Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5T4ZZ] Destruction of Left Ankle Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5V0ZZ] Destruction of Right Foot Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5V3ZZ] Destruction of Right Foot Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5V4ZZ] Destruction of Right Foot Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5W0ZZ] Destruction of Left Foot Tendon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5W3ZZ] Destruction of Left Foot Tendon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L5W4ZZ] Destruction of Left Foot Tendon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L8] Tendons, Division -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L800ZZ] Division of Head and Neck Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L803ZZ] Division of Head and Neck Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L804ZZ] Division of Head and Neck Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L810ZZ] Division of Right Shoulder Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L813ZZ] Division of Right Shoulder Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L814ZZ] Division of Right Shoulder Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L820ZZ] Division of Left Shoulder Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L823ZZ] Division of Left Shoulder Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L824ZZ] Division of Left Shoulder Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L830ZZ] Division of Right Upper Arm Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L833ZZ] Division of Right Upper Arm Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L834ZZ] Division of Right Upper Arm Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L840ZZ] Division of Left Upper Arm Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L843ZZ] Division of Left Upper Arm Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L844ZZ] Division of Left Upper Arm Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L850ZZ] Division of Right Lower Arm and Wrist Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L853ZZ] Division of Right Lower Arm and Wrist Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L854ZZ] Division of Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L860ZZ] Division of Left Lower Arm and Wrist Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L863ZZ] Division of Left Lower Arm and Wrist Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L864ZZ] Division of Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L870ZZ] Division of Right Hand Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L873ZZ] Division of Right Hand Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L874ZZ] Division of Right Hand Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L880ZZ] Division of Left Hand Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L883ZZ] Division of Left Hand Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L884ZZ] Division of Left Hand Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L890ZZ] Division of Right Trunk Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L893ZZ] Division of Right Trunk Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L894ZZ] Division of Right Trunk Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8B0ZZ] Division of Left Trunk Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8B3ZZ] Division of Left Trunk Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8B4ZZ] Division of Left Trunk Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8C0ZZ] Division of Right Thorax Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8C3ZZ] Division of Right Thorax Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8C4ZZ] Division of Right Thorax Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8D0ZZ] Division of Left Thorax Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8D3ZZ] Division of Left Thorax Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8D4ZZ] Division of Left Thorax Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8F0ZZ] Division of Right Abdomen Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8F3ZZ] Division of Right Abdomen Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8F4ZZ] Division of Right Abdomen Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8G0ZZ] Division of Left Abdomen Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8G3ZZ] Division of Left Abdomen Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8G4ZZ] Division of Left Abdomen Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8H0ZZ] Division of Perineum Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8H3ZZ] Division of Perineum Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8H4ZZ] Division of Perineum Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8J0ZZ] Division of Right Hip Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8J3ZZ] Division of Right Hip Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8J4ZZ] Division of Right Hip Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8K0ZZ] Division of Left Hip Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8K3ZZ] Division of Left Hip Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8K4ZZ] Division of Left Hip Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8L0ZZ] Division of Right Upper Leg Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8L3ZZ] Division of Right Upper Leg Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8L4ZZ] Division of Right Upper Leg Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8M0ZZ] Division of Left Upper Leg Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8M3ZZ] Division of Left Upper Leg Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8M4ZZ] Division of Left Upper Leg Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8N0ZZ] Division of Right Lower Leg Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8N3ZZ] Division of Right Lower Leg Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8N4ZZ] Division of Right Lower Leg Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8P0ZZ] Division of Left Lower Leg Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8P3ZZ] Division of Left Lower Leg Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8P4ZZ] Division of Left Lower Leg Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8Q0ZZ] Division of Right Knee Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8Q3ZZ] Division of Right Knee Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8Q4ZZ] Division of Right Knee Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8R0ZZ] Division of Left Knee Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8R3ZZ] Division of Left Knee Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8R4ZZ] Division of Left Knee Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8S0ZZ] Division of Right Ankle Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8S3ZZ] Division of Right Ankle Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8S4ZZ] Division of Right Ankle Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8T0ZZ] Division of Left Ankle Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8T3ZZ] Division of Left Ankle Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8T4ZZ] Division of Left Ankle Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8V0ZZ] Division of Right Foot Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8V3ZZ] Division of Right Foot Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8V4ZZ] Division of Right Foot Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8W0ZZ] Division of Left Foot Tendon, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8W3ZZ] Division of Left Foot Tendon, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L8W4ZZ] Division of Left Foot Tendon, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0L9] Tendons, Drainage -- Taking or letting out fluids and/or gases from a body part
[0L9000Z] Drainage of Head and Neck Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L900ZX] Drainage of Head and Neck Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L900ZZ] Drainage of Head and Neck Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9030Z] Drainage of Head and Neck Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L903ZX] Drainage of Head and Neck Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L903ZZ] Drainage of Head and Neck Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9040Z] Drainage of Head and Neck Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L904ZX] Drainage of Head and Neck Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
