[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B558ZZ] Destruction of Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B560ZZ] Destruction of Right Lower Lobe Bronchus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B563ZZ] Destruction of Right Lower Lobe Bronchus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B564ZZ] Destruction of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B567ZZ] Destruction of Right Lower Lobe Bronchus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B568ZZ] Destruction of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B570ZZ] Destruction of Left Main Bronchus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B573ZZ] Destruction of Left Main Bronchus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B574ZZ] Destruction of Left Main Bronchus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B577ZZ] Destruction of Left Main Bronchus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B578ZZ] Destruction of Left Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B580ZZ] Destruction of Left Upper Lobe Bronchus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B583ZZ] Destruction of Left Upper Lobe Bronchus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B584ZZ] Destruction of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B587ZZ] Destruction of Left Upper Lobe Bronchus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B588ZZ] Destruction of Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B590ZZ] Destruction of Lingula Bronchus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B593ZZ] Destruction of Lingula Bronchus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B594ZZ] Destruction of Lingula Bronchus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B597ZZ] Destruction of Lingula Bronchus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B598ZZ] Destruction of Lingula Bronchus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5B0ZZ] Destruction of Left Lower Lobe Bronchus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5B3ZZ] Destruction of Left Lower Lobe Bronchus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5B4ZZ] Destruction of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5B7ZZ] Destruction of Left Lower Lobe Bronchus, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5B8ZZ] Destruction of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C0Z3] Destruction of Right Upper Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C0ZZ] Destruction of Right Upper Lung Lobe, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C3Z3] Destruction of Right Upper Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C3ZZ] Destruction of Right Upper Lung Lobe, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C4Z3] Destruction of Right Upper Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C4ZZ] Destruction of Right Upper Lung Lobe, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C7ZZ] Destruction of Right Upper Lung Lobe, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5C8ZZ] Destruction of Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D0Z3] Destruction of Right Middle Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D0ZZ] Destruction of Right Middle Lung Lobe, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D3Z3] Destruction of Right Middle Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D3ZZ] Destruction of Right Middle Lung Lobe, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D4Z3] Destruction of Right Middle Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D4ZZ] Destruction of Right Middle Lung Lobe, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D7ZZ] Destruction of Right Middle Lung Lobe, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5D8ZZ] Destruction of Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F0Z3] Destruction of Right Lower Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F0ZZ] Destruction of Right Lower Lung Lobe, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F3Z3] Destruction of Right Lower Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F3ZZ] Destruction of Right Lower Lung Lobe, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F4Z3] Destruction of Right Lower Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F4ZZ] Destruction of Right Lower Lung Lobe, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F7ZZ] Destruction of Right Lower Lung Lobe, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5F8ZZ] Destruction of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G0Z3] Destruction of Left Upper Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G0ZZ] Destruction of Left Upper Lung Lobe, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G3Z3] Destruction of Left Upper Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G3ZZ] Destruction of Left Upper Lung Lobe, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G4Z3] Destruction of Left Upper Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G4ZZ] Destruction of Left Upper Lung Lobe, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G7ZZ] Destruction of Left Upper Lung Lobe, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5G8ZZ] Destruction of Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H0Z3] Destruction of Lung Lingula using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H0ZZ] Destruction of Lung Lingula, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H3Z3] Destruction of Lung Lingula using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H3ZZ] Destruction of Lung Lingula, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H4Z3] Destruction of Lung Lingula using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H4ZZ] Destruction of Lung Lingula, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H7ZZ] Destruction of Lung Lingula, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5H8ZZ] Destruction of Lung Lingula, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J0Z3] Destruction of Left Lower Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J0ZZ] Destruction of Left Lower Lung Lobe, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J3Z3] Destruction of Left Lower Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J3ZZ] Destruction of Left Lower Lung Lobe, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J4Z3] Destruction of Left Lower Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J4ZZ] Destruction of Left Lower Lung Lobe, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J7ZZ] Destruction of Left Lower Lung Lobe, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5J8ZZ] Destruction of Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K0Z3] Destruction of Right Lung using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K0ZZ] Destruction of Right Lung, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K3Z3] Destruction of Right Lung using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K3ZZ] Destruction of Right Lung, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K4Z3] Destruction of Right Lung using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K4ZZ] Destruction of Right Lung, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K7ZZ] Destruction of Right Lung, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5K8ZZ] Destruction of Right Lung, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L0Z3] Destruction of Left Lung using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L0ZZ] Destruction of Left Lung, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L3Z3] Destruction of Left Lung using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L3ZZ] Destruction of Left Lung, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L4Z3] Destruction of Left Lung using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L4ZZ] Destruction of Left Lung, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L7ZZ] Destruction of Left Lung, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5L8ZZ] Destruction of Left Lung, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M0Z3] Destruction of Bilateral Lungs using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M0ZZ] Destruction of Bilateral Lungs, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M3Z3] Destruction of Bilateral Lungs using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M3ZZ] Destruction of Bilateral Lungs, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M4Z3] Destruction of Bilateral Lungs using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M4ZZ] Destruction of Bilateral Lungs, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M7ZZ] Destruction of Bilateral Lungs, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5M8ZZ] Destruction of Bilateral Lungs, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5N0ZZ] Destruction of Right Pleura, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5N3ZZ] Destruction of Right Pleura, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5N4ZZ] Destruction of Right Pleura, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5P0ZZ] Destruction of Left Pleura, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5P3ZZ] Destruction of Left Pleura, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5P4ZZ] Destruction of Left Pleura, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5T0ZZ] Destruction of Diaphragm, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5T3ZZ] Destruction of Diaphragm, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B5T4ZZ] Destruction of Diaphragm, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B7] Respiratory System, Dilation -- Expanding an orifice or the lumen of a tubular body part
[0B710DZ] Dilation of Trachea with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B710ZZ] Dilation of Trachea, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B713DZ] Dilation of Trachea with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
