[0N] Head and Facial Bones -- Body system (Head and Facial Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0N2] Head and Facial Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20X0Z] Change Drainage Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20XYZ] Change Other Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BX0Z] Change Drainage Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BXYZ] Change Other Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WX0Z] Change Drainage Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WXYZ] Change Other Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N5] Head and Facial Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5N4ZZ] Destruction of Left Zygomatic Bone, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5P0ZZ] Destruction of Right Orbit, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5P3ZZ] Destruction of Right Orbit, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5P4ZZ] Destruction of Right Orbit, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5Q0ZZ] Destruction of Left Orbit, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5Q3ZZ] Destruction of Left Orbit, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5Q4ZZ] Destruction of Left Orbit, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5R0ZZ] Destruction of Maxilla, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5R3ZZ] Destruction of Maxilla, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5R4ZZ] Destruction of Maxilla, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5T0ZZ] Destruction of Right Mandible, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5T3ZZ] Destruction of Right Mandible, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5T4ZZ] Destruction of Right Mandible, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5V0ZZ] Destruction of Left Mandible, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5V3ZZ] Destruction of Left Mandible, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5V4ZZ] Destruction of Left Mandible, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5X0ZZ] Destruction of Hyoid Bone, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5X3ZZ] Destruction of Hyoid Bone, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N5X4ZZ] Destruction of Hyoid Bone, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N8] Head and Facial Bones, Division -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N800ZZ] Division of Skull, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N803ZZ] Division of Skull, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N804ZZ] Division of Skull, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N810ZZ] Division of Frontal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N813ZZ] Division of Frontal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N814ZZ] Division of Frontal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N830ZZ] Division of Right Parietal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N833ZZ] Division of Right Parietal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N834ZZ] Division of Right Parietal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N840ZZ] Division of Left Parietal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N843ZZ] Division of Left Parietal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N844ZZ] Division of Left Parietal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N850ZZ] Division of Right Temporal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N853ZZ] Division of Right Temporal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N854ZZ] Division of Right Temporal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N860ZZ] Division of Left Temporal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N863ZZ] Division of Left Temporal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N864ZZ] Division of Left Temporal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N870ZZ] Division of Occipital Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N873ZZ] Division of Occipital Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N874ZZ] Division of Occipital Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8B0ZZ] Division of Nasal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8B3ZZ] Division of Nasal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8B4ZZ] Division of Nasal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8C0ZZ] Division of Sphenoid Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8C3ZZ] Division of Sphenoid Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8C4ZZ] Division of Sphenoid Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8F0ZZ] Division of Right Ethmoid Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8F3ZZ] Division of Right Ethmoid Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8F4ZZ] Division of Right Ethmoid Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8G0ZZ] Division of Left Ethmoid Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8G3ZZ] Division of Left Ethmoid Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8G4ZZ] Division of Left Ethmoid Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8H0ZZ] Division of Right Lacrimal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8H3ZZ] Division of Right Lacrimal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8H4ZZ] Division of Right Lacrimal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8J0ZZ] Division of Left Lacrimal Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8J3ZZ] Division of Left Lacrimal Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8J4ZZ] Division of Left Lacrimal Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8K0ZZ] Division of Right Palatine Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8K3ZZ] Division of Right Palatine Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8K4ZZ] Division of Right Palatine Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8L0ZZ] Division of Left Palatine Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8L3ZZ] Division of Left Palatine Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8L4ZZ] Division of Left Palatine Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8M0ZZ] Division of Right Zygomatic Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8M3ZZ] Division of Right Zygomatic Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8M4ZZ] Division of Right Zygomatic Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8N0ZZ] Division of Left Zygomatic Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8N3ZZ] Division of Left Zygomatic Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8N4ZZ] Division of Left Zygomatic Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8P0ZZ] Division of Right Orbit, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8P3ZZ] Division of Right Orbit, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8P4ZZ] Division of Right Orbit, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8Q0ZZ] Division of Left Orbit, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8Q3ZZ] Division of Left Orbit, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8Q4ZZ] Division of Left Orbit, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8R0ZZ] Division of Maxilla, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8R3ZZ] Division of Maxilla, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8R4ZZ] Division of Maxilla, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8T0ZZ] Division of Right Mandible, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8T3ZZ] Division of Right Mandible, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8T4ZZ] Division of Right Mandible, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8V0ZZ] Division of Left Mandible, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8V3ZZ] Division of Left Mandible, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8V4ZZ] Division of Left Mandible, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8X0ZZ] Division of Hyoid Bone, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8X3ZZ] Division of Hyoid Bone, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N8X4ZZ] Division of Hyoid Bone, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0N9] Head and Facial Bones, Drainage -- Taking or letting out fluids and/or gases from a body part
[0N9000Z] Drainage of Skull with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N900ZX] Drainage of Skull, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N900ZZ] Drainage of Skull, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9030Z] Drainage of Skull with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N903ZX] Drainage of Skull, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N903ZZ] Drainage of Skull, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9040Z] Drainage of Skull with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N904ZX] Drainage of Skull, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N904ZZ] Drainage of Skull, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9100Z] Drainage of Frontal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N910ZX] Drainage of Frontal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N910ZZ] Drainage of Frontal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9130Z] Drainage of Frontal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N913ZX] Drainage of Frontal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N913ZZ] Drainage of Frontal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9140Z] Drainage of Frontal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N914ZX] Drainage of Frontal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N914ZZ] Drainage of Frontal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9300Z] Drainage of Right Parietal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N930ZX] Drainage of Right Parietal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N930ZZ] Drainage of Right Parietal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9330Z] Drainage of Right Parietal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N933ZX] Drainage of Right Parietal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N933ZZ] Drainage of Right Parietal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9340Z] Drainage of Right Parietal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N934ZX] Drainage of Right Parietal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N934ZZ] Drainage of Right Parietal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9400Z] Drainage of Left Parietal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N940ZX] Drainage of Left Parietal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N940ZZ] Drainage of Left Parietal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9430Z] Drainage of Left Parietal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N943ZX] Drainage of Left Parietal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N943ZZ] Drainage of Left Parietal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9440Z] Drainage of Left Parietal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N944ZX] Drainage of Left Parietal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N944ZZ] Drainage of Left Parietal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9500Z] Drainage of Right Temporal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N950ZX] Drainage of Right Temporal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N950ZZ] Drainage of Right Temporal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9530Z] Drainage of Right Temporal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N953ZX] Drainage of Right Temporal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N953ZZ] Drainage of Right Temporal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9540Z] Drainage of Right Temporal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N954ZX] Drainage of Right Temporal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N954ZZ] Drainage of Right Temporal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9600Z] Drainage of Left Temporal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
