[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0F150ZB] Bypass Right Hepatic Duct to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F154D3] Bypass Right Hepatic Duct to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154D4] Bypass Right Hepatic Duct to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154D5] Bypass Right Hepatic Duct to Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154D6] Bypass Right Hepatic Duct to Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154D7] Bypass Right Hepatic Duct to Caudate Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154D8] Bypass Right Hepatic Duct to Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154D9] Bypass Right Hepatic Duct to Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154DB] Bypass Right Hepatic Duct to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154Z3] Bypass Right Hepatic Duct to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154Z4] Bypass Right Hepatic Duct to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154Z5] Bypass Right Hepatic Duct to Right Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154Z6] Bypass Right Hepatic Duct to Left Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154Z7] Bypass Right Hepatic Duct to Caudate Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154Z8] Bypass Right Hepatic Duct to Cystic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154Z9] Bypass Right Hepatic Duct to Common Bile Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F154ZB] Bypass Right Hepatic Duct to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F160D3] Bypass Left Hepatic Duct to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160D4] Bypass Left Hepatic Duct to Stomach with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160D5] Bypass Left Hepatic Duct to Right Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160D6] Bypass Left Hepatic Duct to Left Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160D7] Bypass Left Hepatic Duct to Caudate Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160D8] Bypass Left Hepatic Duct to Cystic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160D9] Bypass Left Hepatic Duct to Common Bile Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160DB] Bypass Left Hepatic Duct to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160Z3] Bypass Left Hepatic Duct to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160Z4] Bypass Left Hepatic Duct to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160Z5] Bypass Left Hepatic Duct to Right Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160Z6] Bypass Left Hepatic Duct to Left Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160Z7] Bypass Left Hepatic Duct to Caudate Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160Z8] Bypass Left Hepatic Duct to Cystic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160Z9] Bypass Left Hepatic Duct to Common Bile Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F160ZB] Bypass Left Hepatic Duct to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F164D3] Bypass Left Hepatic Duct to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164D4] Bypass Left Hepatic Duct to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164D5] Bypass Left Hepatic Duct to Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164D6] Bypass Left Hepatic Duct to Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164D7] Bypass Left Hepatic Duct to Caudate Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164D8] Bypass Left Hepatic Duct to Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164D9] Bypass Left Hepatic Duct to Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164DB] Bypass Left Hepatic Duct to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164Z3] Bypass Left Hepatic Duct to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164Z4] Bypass Left Hepatic Duct to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164Z5] Bypass Left Hepatic Duct to Right Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164Z6] Bypass Left Hepatic Duct to Left Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164Z7] Bypass Left Hepatic Duct to Caudate Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164Z8] Bypass Left Hepatic Duct to Cystic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164Z9] Bypass Left Hepatic Duct to Common Bile Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F164ZB] Bypass Left Hepatic Duct to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F170D3] Bypass Common Hepatic Duct to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170D4] Bypass Common Hepatic Duct to Stomach with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170D5] Bypass Common Hepatic Duct to Right Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170D6] Bypass Common Hepatic Duct to Left Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170D7] Bypass Common Hepatic Duct to Caudate Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170D8] Bypass Common Hepatic Duct to Cystic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170D9] Bypass Common Hepatic Duct to Common Bile Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170DB] Bypass Common Hepatic Duct to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170Z3] Bypass Common Hepatic Duct to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170Z4] Bypass Common Hepatic Duct to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170Z5] Bypass Common Hepatic Duct to Right Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170Z6] Bypass Common Hepatic Duct to Left Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170Z7] Bypass Common Hepatic Duct to Caudate Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170Z8] Bypass Common Hepatic Duct to Cystic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170Z9] Bypass Common Hepatic Duct to Common Bile Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F170ZB] Bypass Common Hepatic Duct to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F174D3] Bypass Common Hepatic Duct to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174D4] Bypass Common Hepatic Duct to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174D5] Bypass Common Hepatic Duct to Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174D6] Bypass Common Hepatic Duct to Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174D7] Bypass Common Hepatic Duct to Caudate Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174D8] Bypass Common Hepatic Duct to Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174D9] Bypass Common Hepatic Duct to Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174DB] Bypass Common Hepatic Duct to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174Z3] Bypass Common Hepatic Duct to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174Z4] Bypass Common Hepatic Duct to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174Z5] Bypass Common Hepatic Duct to Right Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174Z6] Bypass Common Hepatic Duct to Left Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174Z7] Bypass Common Hepatic Duct to Caudate Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174Z8] Bypass Common Hepatic Duct to Cystic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174Z9] Bypass Common Hepatic Duct to Common Bile Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F174ZB] Bypass Common Hepatic Duct to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F180D3] Bypass Cystic Duct to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180D4] Bypass Cystic Duct to Stomach with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180D5] Bypass Cystic Duct to Right Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180D6] Bypass Cystic Duct to Left Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180D7] Bypass Cystic Duct to Caudate Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180D8] Bypass Cystic Duct to Cystic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180D9] Bypass Cystic Duct to Common Bile Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180DB] Bypass Cystic Duct to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180Z3] Bypass Cystic Duct to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180Z4] Bypass Cystic Duct to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180Z5] Bypass Cystic Duct to Right Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180Z6] Bypass Cystic Duct to Left Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180Z7] Bypass Cystic Duct to Caudate Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180Z8] Bypass Cystic Duct to Cystic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180Z9] Bypass Cystic Duct to Common Bile Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F180ZB] Bypass Cystic Duct to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F184D3] Bypass Cystic Duct to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184D4] Bypass Cystic Duct to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184D5] Bypass Cystic Duct to Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184D6] Bypass Cystic Duct to Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184D7] Bypass Cystic Duct to Caudate Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184D8] Bypass Cystic Duct to Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184D9] Bypass Cystic Duct to Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184DB] Bypass Cystic Duct to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184Z3] Bypass Cystic Duct to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184Z4] Bypass Cystic Duct to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184Z5] Bypass Cystic Duct to Right Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184Z6] Bypass Cystic Duct to Left Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184Z7] Bypass Cystic Duct to Caudate Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184Z8] Bypass Cystic Duct to Cystic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184Z9] Bypass Cystic Duct to Common Bile Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F184ZB] Bypass Cystic Duct to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F190D3] Bypass Common Bile Duct to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190D4] Bypass Common Bile Duct to Stomach with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190D5] Bypass Common Bile Duct to Right Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190D6] Bypass Common Bile Duct to Left Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190D7] Bypass Common Bile Duct to Caudate Hepatic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190D8] Bypass Common Bile Duct to Cystic Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190D9] Bypass Common Bile Duct to Common Bile Duct with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190DB] Bypass Common Bile Duct to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190Z3] Bypass Common Bile Duct to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190Z4] Bypass Common Bile Duct to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190Z5] Bypass Common Bile Duct to Right Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190Z6] Bypass Common Bile Duct to Left Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190Z7] Bypass Common Bile Duct to Caudate Hepatic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190Z8] Bypass Common Bile Duct to Cystic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190Z9] Bypass Common Bile Duct to Common Bile Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F190ZB] Bypass Common Bile Duct to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F194D3] Bypass Common Bile Duct to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194D4] Bypass Common Bile Duct to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194D5] Bypass Common Bile Duct to Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194D6] Bypass Common Bile Duct to Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194D7] Bypass Common Bile Duct to Caudate Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194D8] Bypass Common Bile Duct to Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194D9] Bypass Common Bile Duct to Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194DB] Bypass Common Bile Duct to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194Z3] Bypass Common Bile Duct to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194Z4] Bypass Common Bile Duct to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194Z5] Bypass Common Bile Duct to Right Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194Z6] Bypass Common Bile Duct to Left Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194Z7] Bypass Common Bile Duct to Caudate Hepatic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194Z8] Bypass Common Bile Duct to Cystic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194Z9] Bypass Common Bile Duct to Common Bile Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F194ZB] Bypass Common Bile Duct to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0D3] Bypass Pancreatic Duct to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0D4] Bypass Pancreatic Duct to Stomach with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0DB] Bypass Pancreatic Duct to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0DC] Bypass Pancreatic Duct to Large Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0Z3] Bypass Pancreatic Duct to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0Z4] Bypass Pancreatic Duct to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0ZB] Bypass Pancreatic Duct to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D0ZC] Bypass Pancreatic Duct to Large Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D4D3] Bypass Pancreatic Duct to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D4D4] Bypass Pancreatic Duct to Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D4DB] Bypass Pancreatic Duct to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D4DC] Bypass Pancreatic Duct to Large Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D4Z3] Bypass Pancreatic Duct to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D4Z4] Bypass Pancreatic Duct to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1D4ZB] Bypass Pancreatic Duct to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
