[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07144ZK] Bypass Left Upper Extremity Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07144ZL] Bypass Left Upper Extremity Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07150Z3] Bypass Right Axillary Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07150Z4] Bypass Right Axillary Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07150Z7] Bypass Right Axillary Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07150ZK] Bypass Right Axillary Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07150ZL] Bypass Right Axillary Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07154Z3] Bypass Right Axillary Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07154Z4] Bypass Right Axillary Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07154Z7] Bypass Right Axillary Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07154ZK] Bypass Right Axillary Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07154ZL] Bypass Right Axillary Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07160Z3] Bypass Left Axillary Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07160Z4] Bypass Left Axillary Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07160Z7] Bypass Left Axillary Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07160ZK] Bypass Left Axillary Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07160ZL] Bypass Left Axillary Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07164Z3] Bypass Left Axillary Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07164Z4] Bypass Left Axillary Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07164Z7] Bypass Left Axillary Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07164ZK] Bypass Left Axillary Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07164ZL] Bypass Left Axillary Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07170Z3] Bypass Thorax Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07170Z4] Bypass Thorax Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07170Z7] Bypass Thorax Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07170ZK] Bypass Thorax Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07170ZL] Bypass Thorax Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07174Z3] Bypass Thorax Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07174Z4] Bypass Thorax Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07174Z7] Bypass Thorax Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07174ZK] Bypass Thorax Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07174ZL] Bypass Thorax Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07180Z3] Bypass Right Internal Mammary Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07180Z4] Bypass Right Internal Mammary Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07180Z7] Bypass Right Internal Mammary Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07180ZK] Bypass Right Internal Mammary Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07180ZL] Bypass Right Internal Mammary Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07184Z3] Bypass Right Internal Mammary Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07184Z4] Bypass Right Internal Mammary Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07184Z7] Bypass Right Internal Mammary Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07184ZK] Bypass Right Internal Mammary Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07184ZL] Bypass Right Internal Mammary Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07190Z3] Bypass Left Internal Mammary Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07190Z4] Bypass Left Internal Mammary Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07190Z7] Bypass Left Internal Mammary Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07190ZK] Bypass Left Internal Mammary Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07190ZL] Bypass Left Internal Mammary Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[07194Z3] Bypass Left Internal Mammary Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07194Z4] Bypass Left Internal Mammary Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07194Z7] Bypass Left Internal Mammary Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07194ZK] Bypass Left Internal Mammary Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[07194ZL] Bypass Left Internal Mammary Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071B0Z3] Bypass Mesenteric Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071B0Z4] Bypass Mesenteric Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071B0Z7] Bypass Mesenteric Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071B0ZK] Bypass Mesenteric Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071B0ZL] Bypass Mesenteric Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071B4Z3] Bypass Mesenteric Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071B4Z4] Bypass Mesenteric Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071B4Z7] Bypass Mesenteric Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071B4ZK] Bypass Mesenteric Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071B4ZL] Bypass Mesenteric Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071C0Z3] Bypass Pelvis Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071C0Z4] Bypass Pelvis Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071C0Z7] Bypass Pelvis Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071C0ZK] Bypass Pelvis Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071C0ZL] Bypass Pelvis Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071C4Z3] Bypass Pelvis Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071C4Z4] Bypass Pelvis Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071C4Z7] Bypass Pelvis Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071C4ZK] Bypass Pelvis Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071C4ZL] Bypass Pelvis Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071D0Z3] Bypass Aortic Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071D0Z4] Bypass Aortic Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071D0Z7] Bypass Aortic Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071D0ZK] Bypass Aortic Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071D0ZL] Bypass Aortic Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071D4Z3] Bypass Aortic Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071D4Z4] Bypass Aortic Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071D4Z7] Bypass Aortic Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071D4ZK] Bypass Aortic Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071D4ZL] Bypass Aortic Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071F0Z3] Bypass Right Lower Extremity Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071F0Z4] Bypass Right Lower Extremity Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071F0Z7] Bypass Right Lower Extremity Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071F0ZK] Bypass Right Lower Extremity Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071F0ZL] Bypass Right Lower Extremity Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071F4Z3] Bypass Right Lower Extremity Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071F4Z4] Bypass Right Lower Extremity Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071F4Z7] Bypass Right Lower Extremity Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071F4ZK] Bypass Right Lower Extremity Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071F4ZL] Bypass Right Lower Extremity Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071G0Z3] Bypass Left Lower Extremity Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071G0Z4] Bypass Left Lower Extremity Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071G0Z7] Bypass Left Lower Extremity Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071G0ZK] Bypass Left Lower Extremity Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071G0ZL] Bypass Left Lower Extremity Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071G4Z3] Bypass Left Lower Extremity Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071G4Z4] Bypass Left Lower Extremity Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071G4Z7] Bypass Left Lower Extremity Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071G4ZK] Bypass Left Lower Extremity Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071G4ZL] Bypass Left Lower Extremity Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071H0Z3] Bypass Right Inguinal Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071H0Z4] Bypass Right Inguinal Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071H0Z7] Bypass Right Inguinal Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071H0ZK] Bypass Right Inguinal Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071H0ZL] Bypass Right Inguinal Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071H4Z3] Bypass Right Inguinal Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071H4Z4] Bypass Right Inguinal Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071H4Z7] Bypass Right Inguinal Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071H4ZK] Bypass Right Inguinal Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071H4ZL] Bypass Right Inguinal Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071J0Z3] Bypass Left Inguinal Lymphatic to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071J0Z4] Bypass Left Inguinal Lymphatic to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071J0Z7] Bypass Left Inguinal Lymphatic to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071J0ZK] Bypass Left Inguinal Lymphatic to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071J0ZL] Bypass Left Inguinal Lymphatic to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071J4Z3] Bypass Left Inguinal Lymphatic to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071J4Z4] Bypass Left Inguinal Lymphatic to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071J4Z7] Bypass Left Inguinal Lymphatic to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071J4ZK] Bypass Left Inguinal Lymphatic to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071J4ZL] Bypass Left Inguinal Lymphatic to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071K0Z3] Bypass Thoracic Duct to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071K0Z4] Bypass Thoracic Duct to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071K0Z7] Bypass Thoracic Duct to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071K0ZK] Bypass Thoracic Duct to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071K0ZL] Bypass Thoracic Duct to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071K4Z3] Bypass Thoracic Duct to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071K4Z4] Bypass Thoracic Duct to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071K4Z7] Bypass Thoracic Duct to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071K4ZK] Bypass Thoracic Duct to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071K4ZL] Bypass Thoracic Duct to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071L0Z3] Bypass Cisterna Chyli to Peripheral Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071L0Z4] Bypass Cisterna Chyli to Central Vein, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071L0Z7] Bypass Cisterna Chyli to Lymphatic, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071L0ZK] Bypass Cisterna Chyli to Thoracic Duct, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071L0ZL] Bypass Cisterna Chyli to Cisterna Chyli, Open Approach -- Altering the route of passage of the contents of a tubular body part
[071L4Z3] Bypass Cisterna Chyli to Peripheral Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071L4Z4] Bypass Cisterna Chyli to Central Vein, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071L4Z7] Bypass Cisterna Chyli to Lymphatic, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071L4ZK] Bypass Cisterna Chyli to Thoracic Duct, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[071L4ZL] Bypass Cisterna Chyli to Cisterna Chyli, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[072] Lymphatic and Hemic Systems, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072KX0Z] Change Drainage Device in Thoracic Duct, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072KXYZ] Change Other Device in Thoracic Duct, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072LX0Z] Change Drainage Device in Cisterna Chyli, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072LXYZ] Change Other Device in Cisterna Chyli, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072MX0Z] Change Drainage Device in Thymus, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072MXYZ] Change Other Device in Thymus, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072NX0Z] Change Drainage Device in Lymphatic, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072NXYZ] Change Other Device in Lymphatic, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072PX0Z] Change Drainage Device in Spleen, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072PXYZ] Change Other Device in Spleen, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072TX0Z] Change Drainage Device in Bone Marrow, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[072TXYZ] Change Other Device in Bone Marrow, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[075] Lymphatic and Hemic Systems, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07500ZZ] Destruction of Head Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07503ZZ] Destruction of Head Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07504ZZ] Destruction of Head Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07510ZZ] Destruction of Right Neck Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07513ZZ] Destruction of Right Neck Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
