[9] Chiropractic -- ICD-10-PCS section (Chiropractic). Top-level grouping of procedure codes; sub-nodes break down by body system, operation, and detailed code.
[9WB1XKZ] Chiropractic Manipulation of Cervical Region, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB1XLZ] Chiropractic Manipulation of Cervical Region, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XBZ] Chiropractic Manipulation of Thoracic Region, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XCZ] Chiropractic Manipulation of Thoracic Region, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XDZ] Chiropractic Manipulation of Thoracic Region, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XFZ] Chiropractic Manipulation of Thoracic Region, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XGZ] Chiropractic Manipulation of Thoracic Region, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XHZ] Chiropractic Manipulation of Thoracic Region, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XJZ] Chiropractic Manipulation of Thoracic Region, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XKZ] Chiropractic Manipulation of Thoracic Region, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB2XLZ] Chiropractic Manipulation of Thoracic Region, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XBZ] Chiropractic Manipulation of Lumbar Region, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XCZ] Chiropractic Manipulation of Lumbar Region, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XDZ] Chiropractic Manipulation of Lumbar Region, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XFZ] Chiropractic Manipulation of Lumbar Region, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XGZ] Chiropractic Manipulation of Lumbar Region, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XHZ] Chiropractic Manipulation of Lumbar Region, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XJZ] Chiropractic Manipulation of Lumbar Region, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XKZ] Chiropractic Manipulation of Lumbar Region, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB3XLZ] Chiropractic Manipulation of Lumbar Region, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XBZ] Chiropractic Manipulation of Sacrum, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XCZ] Chiropractic Manipulation of Sacrum, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XDZ] Chiropractic Manipulation of Sacrum, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XFZ] Chiropractic Manipulation of Sacrum, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XGZ] Chiropractic Manipulation of Sacrum, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XHZ] Chiropractic Manipulation of Sacrum, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XJZ] Chiropractic Manipulation of Sacrum, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XKZ] Chiropractic Manipulation of Sacrum, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB4XLZ] Chiropractic Manipulation of Sacrum, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XBZ] Chiropractic Manipulation of Pelvis, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XCZ] Chiropractic Manipulation of Pelvis, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XDZ] Chiropractic Manipulation of Pelvis, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XFZ] Chiropractic Manipulation of Pelvis, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XGZ] Chiropractic Manipulation of Pelvis, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XHZ] Chiropractic Manipulation of Pelvis, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XJZ] Chiropractic Manipulation of Pelvis, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XKZ] Chiropractic Manipulation of Pelvis, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB5XLZ] Chiropractic Manipulation of Pelvis, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XBZ] Chiropractic Manipulation of Lower Extremities, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XCZ] Chiropractic Manipulation of Lower Extremities, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XDZ] Chiropractic Manipulation of Lower Extremities, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XFZ] Chiropractic Manipulation of Lower Extremities, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XGZ] Chiropractic Manipulation of Lower Extremities, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XHZ] Chiropractic Manipulation of Lower Extremities, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XJZ] Chiropractic Manipulation of Lower Extremities, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XKZ] Chiropractic Manipulation of Lower Extremities, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB6XLZ] Chiropractic Manipulation of Lower Extremities, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XBZ] Chiropractic Manipulation of Upper Extremities, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XCZ] Chiropractic Manipulation of Upper Extremities, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XDZ] Chiropractic Manipulation of Upper Extremities, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XFZ] Chiropractic Manipulation of Upper Extremities, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XGZ] Chiropractic Manipulation of Upper Extremities, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XHZ] Chiropractic Manipulation of Upper Extremities, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XJZ] Chiropractic Manipulation of Upper Extremities, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XKZ] Chiropractic Manipulation of Upper Extremities, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB7XLZ] Chiropractic Manipulation of Upper Extremities, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XBZ] Chiropractic Manipulation of Rib Cage, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XCZ] Chiropractic Manipulation of Rib Cage, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XDZ] Chiropractic Manipulation of Rib Cage, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XFZ] Chiropractic Manipulation of Rib Cage, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XGZ] Chiropractic Manipulation of Rib Cage, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XHZ] Chiropractic Manipulation of Rib Cage, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XJZ] Chiropractic Manipulation of Rib Cage, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XKZ] Chiropractic Manipulation of Rib Cage, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB8XLZ] Chiropractic Manipulation of Rib Cage, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XBZ] Chiropractic Manipulation of Abdomen, Non-Manual -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XCZ] Chiropractic Manipulation of Abdomen, Indirect Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XDZ] Chiropractic Manipulation of Abdomen, Extra-Articular -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XFZ] Chiropractic Manipulation of Abdomen, Direct Visceral -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XGZ] Chiropractic Manipulation of Abdomen, Long Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XHZ] Chiropractic Manipulation of Abdomen, Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XJZ] Chiropractic Manipulation of Abdomen, Long and Short Lever Specific Contact -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XKZ] Chiropractic Manipulation of Abdomen, Mechanically Assisted -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
[9WB9XLZ] Chiropractic Manipulation of Abdomen, Other Method -- Manual procedure that involves a directed thrust to move a joint past the physiological range of motion, without exceeding the anatomical limit
