[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5W3ZZ] Destruction of Left Lower Extremity Bursa and Ligament, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M5W4ZZ] Destruction of Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M8] Bursae and Ligaments, Division -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M800ZZ] Division of Head and Neck Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M803ZZ] Division of Head and Neck Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M804ZZ] Division of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M810ZZ] Division of Right Shoulder Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M813ZZ] Division of Right Shoulder Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M814ZZ] Division of Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M820ZZ] Division of Left Shoulder Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M823ZZ] Division of Left Shoulder Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M824ZZ] Division of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M830ZZ] Division of Right Elbow Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M833ZZ] Division of Right Elbow Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M834ZZ] Division of Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M840ZZ] Division of Left Elbow Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M843ZZ] Division of Left Elbow Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M844ZZ] Division of Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M850ZZ] Division of Right Wrist Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M853ZZ] Division of Right Wrist Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M854ZZ] Division of Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M860ZZ] Division of Left Wrist Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M863ZZ] Division of Left Wrist Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M864ZZ] Division of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M870ZZ] Division of Right Hand Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M873ZZ] Division of Right Hand Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M874ZZ] Division of Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M880ZZ] Division of Left Hand Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M883ZZ] Division of Left Hand Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M884ZZ] Division of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M890ZZ] Division of Right Upper Extremity Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M893ZZ] Division of Right Upper Extremity Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M894ZZ] Division of Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8B0ZZ] Division of Left Upper Extremity Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8B3ZZ] Division of Left Upper Extremity Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8B4ZZ] Division of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8C0ZZ] Division of Upper Spine Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8C3ZZ] Division of Upper Spine Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8C4ZZ] Division of Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8D0ZZ] Division of Lower Spine Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8D3ZZ] Division of Lower Spine Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8D4ZZ] Division of Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8F0ZZ] Division of Sternum Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8F3ZZ] Division of Sternum Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8F4ZZ] Division of Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8G0ZZ] Division of Rib(s) Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8G3ZZ] Division of Rib(s) Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8G4ZZ] Division of Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8H0ZZ] Division of Right Abdomen Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8H3ZZ] Division of Right Abdomen Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8H4ZZ] Division of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8J0ZZ] Division of Left Abdomen Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8J3ZZ] Division of Left Abdomen Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8J4ZZ] Division of Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8K0ZZ] Division of Perineum Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8K3ZZ] Division of Perineum Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8K4ZZ] Division of Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8L0ZZ] Division of Right Hip Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8L3ZZ] Division of Right Hip Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8L4ZZ] Division of Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8M0ZZ] Division of Left Hip Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8M3ZZ] Division of Left Hip Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8M4ZZ] Division of Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8N0ZZ] Division of Right Knee Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8N3ZZ] Division of Right Knee Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8N4ZZ] Division of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8P0ZZ] Division of Left Knee Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8P3ZZ] Division of Left Knee Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8P4ZZ] Division of Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8Q0ZZ] Division of Right Ankle Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8Q3ZZ] Division of Right Ankle Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8Q4ZZ] Division of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8R0ZZ] Division of Left Ankle Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8R3ZZ] Division of Left Ankle Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8R4ZZ] Division of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8S0ZZ] Division of Right Foot Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8S3ZZ] Division of Right Foot Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8S4ZZ] Division of Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8T0ZZ] Division of Left Foot Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8T3ZZ] Division of Left Foot Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8T4ZZ] Division of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8V0ZZ] Division of Right Lower Extremity Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8V3ZZ] Division of Right Lower Extremity Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
